Protein,Interaction,Drug,Scores
ABL2,PD,D06407,0.8885
ALB,PD,D00449,0.8769
ALB,PD,D00475,0.8616
ALK,PD,D08552,0.9108
APEX1,PD,D02166,1
APEX1,PD,D08224,1
APEX1,PD,D08062,0.8576
APEX1,PD,D01264,0.8271
APEX1,PD,D01275,0.8104
ASIC4,PD,D07447,0.8355
AURKA,PD,D08552,0.651
BCRABL,PD,D06407,1
BCRABL,PD,D03736,0.8854
BCRABL,PD,D08552,0.8309
BCRABL,PD,D03658,0.819
BCRABL,PD,D09635,0.814
BLK,PD,D06407,0.9128
BLK,PD,D08279,0.8744
BLK,PD,D03658,0.8175
BLM,PD,D02166,0.9777
BLM,PD,D08062,0.9402
BLM,PD,D08224,0.9289
BLM,PD,D01264,0.9159
BLM,PD,D00808,0.9151
BLM,PD,D04004,0.8858
BLM,PD,D03882,0.8701
BLM,PD,D01046,0.8562
BLM,PD,D00086,0.8434
BLM,PD,D01385,0.818
BLM,PD,D00302,0.8099
CACNA1A,PD,D00437,0.8146
CHRNA4,PD,D02364,1
CHRNA4,PD,D08138,0.9664
CHRNA4,PD,D02202,0.9629
CHRNA7,PD,D02364,0.8114
DRD1,PD,D01321,0.8286
EGFR,PD,D05399,1
EGFR,PD,D06407,1
EGFR,PD,D08950,0.92
EGFR,PD,D03658,0.8934
EGFR,PD,D03252,0.872
EGFR,PD,D01977,0.8612
EGFR,PD,D08066,0.8599
ERBB2,PD,D05399,1
ERBB2,PD,D08950,0.8287
ERBB2,PD,D06407,0.8041
ESR1,PD,D00105,1
ESR1,PD,D00577,1
ESR1,PD,D08465,1
ESR1,PD,D00859,0.9741
ESR1,PD,D00951,0.9584
ESR1,PD,D00066,0.9528
ESR1,PD,D02217,0.9331
ESR1,PD,D08559,0.8876
ESR1,PD,D01953,0.8501
ESR1,PD,D00185,0.8399
ESR1,PD,D00554,0.8357
ESR1,PD,D00075,0.8306
ESR1,PD,D07121,0.8306
F12,PD,D00043,0.8415
FES,PD,D08279,0.8644
FGFR1,PD,D09635,0.9137
FLT1,PD,D09635,1
FLT1,PD,D03736,0.9656
FLT1,PD,D08524,0.8919
FLT1,PD,D08279,0.8488
FLT3,PD,D06407,0.9101
FLT3,PD,D09635,0.8793
FLT3,PD,D08552,0.853
FLT3,PD,D03736,0.8493
FLT3,PD,D08279,0.8265
FRK,PD,D06407,0.9617
FRK,PD,D03736,0.8047
FURIN,PD,D00043,0.8083
GABRA2,PD,D00293,1
GABRA2,PD,D08283,0.9903
GABRA2,PD,D01354,0.9789
GABRA2,PD,D01230,0.9788
