Protein,Interaction,Drug,Scores
ALK,PD,D08552,0.9108
APEX1,PD,D02166,1
APEX1,PD,D08224,1
BCRABL,PD,D06407,1
BLK,PD,D06407,0.9128
BLM,PD,D02166,0.9777
BLM,PD,D08062,0.9402
BLM,PD,D08224,0.9289
BLM,PD,D01264,0.9159
BLM,PD,D00808,0.9151
CHRNA4,PD,D02364,1
CHRNA4,PD,D08138,0.9664
CHRNA4,PD,D02202,0.9629
EGFR,PD,D05399,1
EGFR,PD,D06407,1
EGFR,PD,D08950,0.92
ERBB2,PD,D05399,1
ESR1,PD,D00105,1
ESR1,PD,D00577,1
ESR1,PD,D08465,1
ESR1,PD,D00859,0.9741
ESR1,PD,D00951,0.9584
ESR1,PD,D00066,0.9528
ESR1,PD,D02217,0.9331
FGFR1,PD,D09635,0.9137
FLT1,PD,D09635,1
FLT1,PD,D03736,0.9656
FLT3,PD,D06407,0.9101
FRK,PD,D06407,0.9617
GABRA2,PD,D00293,1
GABRA2,PD,D08283,0.9903
GABRA2,PD,D01354,0.9789
GABRA2,PD,D01230,0.9788
GABRA2,PD,D00387,0.9772
GABRA2,PD,D00500,0.9706
GABRA2,PD,D07784,0.9698
GABRA2,PD,D00464,0.964
GABRA2,PD,D00329,0.9627
GABRA2,PD,D00696,0.9562
GABRA2,PD,D00550,0.9528
GABRA2,PD,D00311,0.9504
GABRA2,PD,D00280,0.9496
GABRA2,PD,D00365,0.9466
GABRA2,PD,D00267,0.9432
GABRA2,PD,D00714,0.9429
GABRA2,PD,D00225,0.9425
GABRA2,PD,D00506,0.9281
GABRA2,PD,D00470,0.9221
GABRA2,PD,D00370,0.9218
GABRA2,PD,D00531,0.9192
GABRA2,PD,D01279,0.918
GABRA2,PD,D01593,0.9136
GABRA2,PD,D01657,0.9108
GABRA2,PD,D00555,0.9095
GABRA2,PD,D08507,0.9058
GABRA2,PD,D02253,0.9052
GABRA2,PD,D01245,0.9042
GABRA2,PD,D00694,0.9004
GMNN,PD,D00131,1
GMNN,PD,D00282,1
GMNN,PD,D00298,0.9874
GMNN,PD,D00297,0.9828
GMNN,PD,D00570,0.9777
HDAC1,PD,D00710,0.9499
HDAC1,PD,D00399,0.9373
HDAC1,PD,D00304,0.9351
HDAC1,PD,D08667,0.9351
HDAC2,PD,D00710,0.9602
HDAC2,PD,D00399,0.9476
HDAC2,PD,D00304,0.9453
HDAC2,PD,D08667,0.9453
HDAC3,PD,D00710,0.9034
HDAC6,PD,D00304,0.9851
HDAC6,PD,D08667,0.9851
HDAC6,PD,D00710,0.9765
HDAC6,PD,D00399,0.9519
HIF1A,PD,D00302,0.9402
HIF1A,PD,D00282,0.9116
HTR1A,PD,D00283,1
HTR1A,PD,D00454,1
HTR1A,PD,D01164,1
HTR1A,PD,D08456,1
HTR1A,PD,D00426,0.991
HTR1A,PD,D01321,0.9779
HTR1A,PD,D08687,0.9731
HTR1A,PD,D00561,0.9718
HTR1A,PD,D01051,0.9039
KDR,PD,D03736,1
KDR,PD,D09635,1
KDR,PD,D08524,0.9507
KIT,PD,D03736,1
KIT,PD,D08524,1
KIT,PD,D09635,1
KIT,PD,D08552,0.9733
KMT2A,PD,D00859,0.9582
KMT2A,PD,D01046,0.9059
KMT2A,PD,D01264,0.9054
LCK,PD,D06407,1
LCK,PD,D05399,0.9551
LYN,PD,D06407,0.9484
MAPT,PD,D00094,1
MAPT,PD,D00411,1
MAPT,PD,D00881,1
MAPT,PD,D02335,1
MAPT,PD,D06114,1
MAPT,PD,D05799,0.9873
MAPT,PD,D06096,0.9853
MAPT,PD,D06543,0.9722
MAPT,PD,D03882,0.9643
MAPT,PD,D00859,0.9489
MAPT,PD,D01264,0.9455
MAPT,PD,D00798,0.9385
MAPT,PD,D00802,0.935
MAPT,PD,D00577,0.9309
MAPT,PD,D05738,0.9275
MAPT,PD,D00131,0.924
MAPT,PD,D07245,0.9145
MAPT,PD,D00882,0.9136
MAPT,PD,D08062,0.9112
MAPT,PD,D05819,0.9097
MAPT,PD,D01046,0.9017
MEN1,PD,D00859,0.949
NR3C1,PD,D00066,0.9608
NR3C1,PD,D00088,0.9429
NTRK1,PD,D08552,1
NTRK3,PD,D08552,0.9026
PDE1A,PD,D00528,1
PDE1A,PD,D00501,0.9592
PDE1A,PD,D01453,0.9077
PDGFRA,PD,D03736,1
PDGFRA,PD,D08524,1
PDGFRA,PD,D09635,1
PDGFRB,PD,D03736,1
PDGFRB,PD,D08524,1
PDGFRB,PD,D09635,1
SMN2,PD,D00238,0.9101
TDP1,PD,D00417,1
TDP1,PD,D00501,1
TDP1,PD,D00528,1
TDP1,PD,D00808,0.9507
TUBB,PD,D08679,1
TUBB,PD,D08675,0.9906
TUBB,PD,D02197,0.969
TUBB,PD,D08680,0.9115
TUBB,PD,D00570,0.9088
TUBB3,PD,D08679,0.9577
TYK2,PD,D08552,0.9044
