Protein,Interaction,Drug,Scores
ABCC2,PD,D00475,0.7238
ABL2,PD,D06407,0.8885
ABL2,PD,D03658,0.783
ABL2,PD,D05399,0.7532
ABL2,PD,D08279,0.7167
ALB,PD,D00449,0.8769
ALB,PD,D00475,0.8616
ALB,PD,D00141,0.7432
ALK,PD,D08552,0.9108
ALK,PD,D08279,0.7569
APEX1,PD,D02166,1
APEX1,PD,D08224,1
APEX1,PD,D08062,0.8576
APEX1,PD,D01264,0.8271
APEX1,PD,D01275,0.8104
APEX1,PD,D00808,0.7515
APEX1,PD,D00849,0.7374
ASIC4,PD,D07447,0.8355
AXL,PD,D08552,0.7588
AXL,PD,D03252,0.7096
BCRABL,PD,D06407,1
BCRABL,PD,D03736,0.8854
BCRABL,PD,D08552,0.8309
BCRABL,PD,D03658,0.819
BCRABL,PD,D09635,0.814
BCRABL,PD,D08279,0.7939
BCRABL,PD,D01977,0.7841
BCRABL,PD,D05399,0.7821
BCRABL,PD,D03252,0.7807
BCRABL,PD,D08524,0.7681
BCRABL,PD,D09731,0.7483
BCRABL,PD,D08066,0.7452
BCRABL,PD,D08881,0.7395
BLK,PD,D06407,0.9128
BLK,PD,D08279,0.8744
BLK,PD,D03658,0.8175
BLK,PD,D09731,0.762
BLK,PD,D05399,0.7576
BLK,PD,D08066,0.7354
BLK,PD,D08950,0.7155
BLK,PD,D08881,0.7143
BLM,PD,D02166,0.9777
BLM,PD,D08062,0.9402
BLM,PD,D08224,0.9289
BLM,PD,D01264,0.9159
BLM,PD,D00808,0.9151
BLM,PD,D04004,0.8858
BLM,PD,D03882,0.8701
BLM,PD,D01046,0.8562
BLM,PD,D00086,0.8434
BLM,PD,D01385,0.818
BLM,PD,D00302,0.8099
BLM,PD,D05819,0.794
BLM,PD,D01896,0.7868
BLM,PD,D05738,0.7858
BLM,PD,D00222,0.7753
BLM,PD,D01883,0.7623
BLM,PD,D00351,0.7621
BLM,PD,D03567,0.7529
BLM,PD,D00231,0.7484
BLM,PD,D00315,0.7459
BLM,PD,D00754,0.7398
BLM,PD,D01261,0.7381
BLM,PD,D00629,0.7367
BLM,PD,D00067,0.7263
BLM,PD,D00333,0.7196
BLM,PD,D04066,0.7174
BLM,PD,D07776,0.7078
BLM,PD,D03985,0.7036
BLM,PD,D05197,0.7033
CACNA1A,PD,D00437,0.8146
