Protein,Interaction,Drug,Scores
ABCC2,PD,D00475,0.7238
ABCC2,PD,D00449,0.6861
ABCC2,PD,D00295,0.6514
ABL2,PD,D06407,0.8885
ABL2,PD,D03658,0.783
ABL2,PD,D05399,0.7532
ABL2,PD,D08279,0.7167
ABL2,PD,D08950,0.6827
ABL2,PD,D08066,0.681
ABL2,PD,D08881,0.6594
ABL2,PD,D09731,0.6544
ABL2,PD,D03252,0.6461
ABL2,PD,D03736,0.6379
ABL2,PD,D01977,0.6266
ALB,PD,D00449,0.8769
ALB,PD,D00475,0.8616
ALB,PD,D00141,0.7432
ALK,PD,D08552,0.9108
ALK,PD,D08279,0.7569
ALK,PD,D09731,0.6174
APEX1,PD,D02166,1
APEX1,PD,D08224,1
APEX1,PD,D08062,0.8576
APEX1,PD,D01264,0.8271
APEX1,PD,D01275,0.8104
APEX1,PD,D00808,0.7515
APEX1,PD,D00849,0.7374
APEX1,PD,D00908,0.6983
APEX1,PD,D07870,0.6911
APEX1,PD,D08205,0.6839
APEX1,PD,D07776,0.6772
APEX1,PD,D02005,0.6737
APEX1,PD,D00059,0.6647
APEX1,PD,D00231,0.6226
APEX1,PD,D00633,0.6225
APEX1,PD,D00302,0.6141
AR,PD,D00066,0.6236
ASIC4,PD,D07447,0.8355
ASIC4,PD,D00332,0.6985
ASIC4,PD,D00775,0.6562
ASIC4,PD,D00354,0.6544
ASIC4,PD,D00538,0.6431
ASIC4,PD,D00252,0.6412
AXL,PD,D08552,0.7588
AXL,PD,D03252,0.7096
AXL,PD,D05399,0.6876
AXL,PD,D08279,0.6805
AXL,PD,D06407,0.6336
AXL,PD,D08950,0.6246
AXL,PD,D09731,0.6245
BCRABL,PD,D06407,1
BCRABL,PD,D03736,0.8854
BCRABL,PD,D08552,0.8309
BCRABL,PD,D03658,0.819
BCRABL,PD,D09635,0.814
BCRABL,PD,D08279,0.7939
BCRABL,PD,D01977,0.7841
BCRABL,PD,D05399,0.7821
BCRABL,PD,D03252,0.7807
BCRABL,PD,D08524,0.7681
BCRABL,PD,D09731,0.7483
BCRABL,PD,D08066,0.7452
BCRABL,PD,D08881,0.7395
BCRABL,PD,D08950,0.6668
BCRABL,PD,D09868,0.6274
BLK,PD,D06407,0.9128
BLK,PD,D08279,0.8744
BLK,PD,D03658,0.8175
BLK,PD,D09731,0.762
BLK,PD,D05399,0.7576
BLK,PD,D08066,0.7354
BLK,PD,D08950,0.7155
BLK,PD,D08881,0.7143
BLK,PD,D03252,0.6933
BLK,PD,D03736,0.6757
BLK,PD,D01977,0.6221
BLK,PD,D08552,0.6065
BLK,PD,D09635,0.6016
BLM,PD,D02166,0.9777
BLM,PD,D08062,0.9402
BLM,PD,D08224,0.9289
BLM,PD,D01264,0.9159
BLM,PD,D00808,0.9151
BLM,PD,D04004,0.8858
BLM,PD,D03882,0.8701
BLM,PD,D01046,0.8562
BLM,PD,D00086,0.8434
BLM,PD,D01385,0.818
BLM,PD,D00302,0.8099
BLM,PD,D05819,0.794
BLM,PD,D01896,0.7868
BLM,PD,D05738,0.7858
BLM,PD,D00222,0.7753
BLM,PD,D01883,0.7623
BLM,PD,D00351,0.7621
BLM,PD,D03567,0.7529
BLM,PD,D00231,0.7484
BLM,PD,D00315,0.7459
BLM,PD,D00754,0.7398
BLM,PD,D01261,0.7381
BLM,PD,D00629,0.7367
BLM,PD,D00067,0.7263
BLM,PD,D00333,0.7196
BLM,PD,D04066,0.7174
BLM,PD,D07776,0.7078
BLM,PD,D03985,0.7036
BLM,PD,D05197,0.7033
BLM,PD,D07339,0.6994
BLM,PD,D03106,0.697
BLM,PD,D00431,0.6967
BLM,PD,D00420,0.6945
BLM,PD,D01575,0.6937
